CustomerID,Recency,Frequency,Monetary,Cluster
12346,106,1,77183.6,3
12347,27,3,1823.43,2
12348,29,3,1487.24,2
12350,90,1,334.4,1
12352,42,5,1561.81,2
12354,12,1,1079.4,2
12356,25,2,2753.08,2
12359,85,2,2386.41,1
12361,67,1,189.9,2
12362,6,2,974.34,2
12363,22,1,299.1,2
12365,71,2,641.38,2
12370,54,3,2806.41,2
12372,76,1,399.22,1
12373,91,1,364.6,1
12377,95,2,1628.12,1
12383,18,4,1751.11,2
12386,117,2,401.9,1
12388,55,3,766.25,2
12393,26,3,1061.1000000000001,2
12395,41,4,1237.93,2
12399,42,1,288.05,2
12401,83,1,84.3,1
12402,103,1,225.6,1
12407,15,2,495.96,2
12408,40,2,837.59,2
12410,89,2,693.3299999999999,1
12413,16,2,563.9,2
12414,8,2,396.56,2
12415,32,5,38192.74,3
12417,5,4,1461.08,2
12421,99,1,157.45,1
12422,105,1,238.5,1
12423,26,4,1032.95,2
12427,152,1,303.5,1
12428,23,6,6310.54,2
12429,7,2,1719.48,2
12431,65,5,2211.28,2
12433,146,2,3787.12,1
12434,40,1,286.25,2
12435,48,1,3978.9900000000002,2
12437,5,6,1339.77,2
12441,147,1,173.55,1
12447,23,1,476.49,2
12451,105,1,2919.5099999999998,1
12455,75,2,1698.9,1
12456,35,1,940.1700000000001,2
12457,14,3,1067.25,2
12458,65,1,441.92,2
12462,83,1,762.11,1
12463,21,1,350.57,2
12464,64,2,363.84999999999997,2
12468,96,1,220.59,1
12471,29,11,7516.12,2
12472,47,3,3048.84,2
12474,36,6,1951.05,2
12476,15,4,2133.9,2
12477,19,2,4576.97,2
12480,47,2,1587.27,2
12481,36,5,2226.77,2
12483,6,2,870.5600000000001,2
12484,116,1,1138.67,1
12489,116,1,334.93,1
12490,110,1,864.22,1
12494,76,3,312.55,2
12500,47,4,1210.2,2
12501,116,1,2169.39,1
12502,48,2,1320.05,2
12506,13,1,73.5,2
12507,79,1,446.16,1
12509,64,1,176.5,2
12510,105,1,681.05,1
12514,47,1,1017.68,2
12515,133,1,383.7,1
12520,40,2,1233.96,2
12523,33,4,500.19,2
12524,2,4,2432.5,2
12527,75,2,284.92,1
12528,56,2,771.66,2
12530,14,2,805.0,2
12539,42,3,4517.69,2
12540,40,4,3457.93,2
12541,61,1,312.4,2
12545,39,1,628.15,2
12547,60,1,159.4,2
12551,138,1,168.0,1
12553,40,4,1381.77,2
12557,36,3,4854.62,2
12559,91,2,561.71,1
12561,83,1,238.85,1
